מחיר,רחוב,אזור,"שטח במ""ר",קומה,כמות חדרים ,zone,city
"₪ 1,900",עבאס 33,"דירה, התקוה, בית יעקב, נווה צה""ל, תל אביב יפו",15,‎קרקע‏,1,,
"₪ 5,500",שדרות הר ציון 1,"דירה, נווה שאנן, תל אביב יפו",50,‎2‏,3,,
"₪ 4,600",בנבנישתי 12,"דירה, פלורנטין, תל אביב יפו",30,‎2‏,2,,
לא צוין מחיר,קהילת ורשה 13,"דירה, הדר יוסף, תל אביב יפו",60,‎1‏,2,,
"₪ 12,750",ניסים אלוני 16,"דירה, צמרות איילון, פארק צמרת, תל אביב יפו",106,‎קרקע‏,3.5,,
"₪ 8,250",מטלון 49,"דירה, נווה שאנן, תל אביב יפו",65,‎14‏,3,,
"₪ 15,000",יציאה לרחוב יוניצמן 1,"דירה, גלילות, תל אביב יפו",162,‎5‏,3.5,,
"₪ 11,500",פייבל 17,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",86,‎4‏,4,,
"₪ 2,800",דרך בן צבי 14,"דירה, מכללת תל אביב יפו, דקר, תל אביב יפו",20,‎3‏,4,,
"₪ 5,000",טשרניחובסקי 21,"מרתף/ פרטר, לב תל אביב, לב העיר צפון, תל אביב יפו",45,‎7‏,2,,
"₪ 7,488",ברתיני גארי 7,"דירה, נווה עופר, תל כביר, תל אביב יפו",85,‎קרקע‏,3,,
"₪ 12,500",קומפרט 9,"דירה, פלורנטין, תל אביב יפו",117,‎8‏,4,,
"₪ 5,500",גלעינית 2,"דירה, יפו ד', גבעת התמרים, תל אביב יפו",80,‎2‏,4,,
"₪ 5,800",זלמן מייזל 12,"דירה, נווה גולן, יפו ג', תל אביב יפו",86,‎קרקע‏,4,,
"₪ 1,200",גרציאני יצחק 8,"חניה, גני שרונה, קרית הממשלה, תל אביב יפו",10,‎2‏,1,,
"₪ 29,500",נחום סוקולוב 88,"גג/ פנטהאוז, הצפון הישן - צפון, תל אביב יפו",276,‎קרקע‏,4,,
"₪ 4,450",מרגולין,"דירה, יד אליהו, תל אביב יפו",49,‎7‏,2,,
"₪ 7,000",אבולעפיה,"דירה, גבעת הרצל, אזור המלאכה יפו, תל אביב יפו",62,‎2‏,2,,
"₪ 9,400",ויסוצקי,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",77,‎3‏,3,,
"₪ 14,000",נחמני,"דירת גן, לב תל אביב, לב העיר צפון, תל אביב יפו",120,‎2‏,3,,
"₪ 2,990",טרומפלדור,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",28,‎קרקע‏,1,,
"₪ 5,250",כרמייה 25,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",35,‎1‏,2,,
"₪ 30,000",שדרות רוטשילד,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",162,‎קרקע‏,4,,
"₪ 12,000",המרפא,"דירת גן, עג'מי, גבעת העליה, תל אביב יפו",153,‎10‏,3,,
"₪ 10,000",אסירי ציון,"דירת גן, קרית שלום, תל אביב יפו",170,‎קרקע‏,4.5,,
"₪ 11,500",ליאונרדו דה וינצ'י,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",86,‎קרקע‏,3,,
"₪ 25,000",יבנה,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",155,‎7‏,4.5,,
"₪ 11,000",גרציאני יצחק,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",103,‎1‏,4,,
"₪ 10,000",רציף הרברט סמואל,"דירה, כרם התימנים, תל אביב יפו",55,‎19‏,2,,
"₪ 8,699",כרם התימנים,"דירה, כרם התימנים, תל אביב יפו",80,‎5‏,3,,
"₪ 14,000",מלצ'ט,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",110,‎1‏,3,,
"₪ 19,000",שדרות לוי אשכול,"דירה, כוכב הצפון, תל אביב יפו",158,‎4‏,6,,
"₪ 9,500",רמת אביב ג',"דירה, רמת אביב ג', תל אביב יפו",100,‎19‏,4.5,,
"₪ 4,300",קהילת קליבלנד 9,"דירה, נווה שרת, תל אביב יפו",70,‎3‏,3,,
"₪ 14,500",בובליק,"דירה, הצפון החדש - צפון, תל אביב יפו",112,‎2‏,4,,
"₪ 6,000",ישעיהו,"דירה, הצפון הישן - צפון, תל אביב יפו",50,‎2‏,2,,
"₪ 10,130","דרך מנחם בגין  158,","תנובה, תל אביב יפו",90,29,3,,
"₪ 8,800",יהודה הלוי,"מחנה רבין הקריה, תל אביב-יפו",100,2,3,,
"₪ 8,480","הרוגי מלכות  5,","ישגב, תל אביב-יפו",50,1,2,,
"₪ 4,900","מטלון  60,","נווה שאנן, תל אביב יפו",50,2,2,,
"₪ 4,800","איתיאל  24,","התקווה, תל אביב-יפו",50,1,2,,
"₪ 15,500","אחד העם  43,","לב תל אביב החלק הדרומי ודרום מזרח למגדל שלום, תל אביב-יפו",136,2,5,,
"₪ 10,000","ליאונרדו דה וינצ'י  14,","מחנה רבין הקריה, תל אביב-יפו",70,25,2,,
"₪ 3,500","יצחק שדה  34,","הרכבת, תל אביב-יפו",33,1,1,,
"₪ 10,900",שינקין,"אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",75,3,3,,
"₪ 10,500","פנקס  76,","הצפון החדש סביבת כיכר המדינה, תל אביב יפו",108,10,4,,
"₪ 14,000",חכמי קירואן,"הצפון החדש החלק הדרומי, תל אביב-יפו",85,2,3,,
"₪ 7,700","בני אפרים  280,","תל ברוך צפון, תל אביב יפו",75,3,2,,
"₪ 10,000",יום טוב,"כרם התימנים, תל אביב-יפו",70,2,2.5,,
"₪ 8,100",שילה,"הצפון החדש החלק הדרומי, תל אביב-יפו",47,ק׳,2,,
"₪ 8,320","רמב""ם  24,","אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",50,4,2,,
"₪ 9,600","החלוצים  28,","פלורנטין, תל אביב-יפו",75,ק׳,3,,
"₪ 6,370","החלוצים  28,","פלורנטין, תל אביב-יפו",25,5,1,,
"₪ 13,200","מוהליבר  31,","אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",86,3,3,,
"₪ 12,880","טרומפלדור  20,","לב תל אביב החלק הצפוני, תל אביב-יפו",81,2,3,,
"₪ 15,000",המלך ג'ורג',"לב תל אביב החלק הצפוני, תל אביב-יפו",200,5,5,,
"₪ 6,000","חיים ויטאל  1,","פלורנטין, תל אביב יפו",50,2,1,,
"₪ 7,200","פלורנטין  33,","פלורנטין, תל אביב-יפו",46,2,2,,
"₪ 30,000",ניסים אלוני,"צמרות איילון, תל אביב יפו",150,18,3.5,,
"₪ 22,000","שאול אביגור  9,",תל אביב-יפו,234,5,6,,
"₪ 3,700","מוזס יהודה ונח  4,","תנובה, תל אביב-יפו",40,3,2,,
"₪ 3,300","אלנבי  70,","אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",22,2,1,,
"₪ 6,700",הרצל,"גבעת הרצל, תל אביב יפו",68,1,3,,
"₪ 7,800",פינסקר,"הצפון הישן החלק הדרומי, תל אביב-יפו",67,3,3,,
